name,course_id,disciplineId,type,under_development,syllabus_link,course_link
Acoustic Instabilities in Aerospace Propulsion,101106031,101,Video,false,,/courses/101106031/
Advanced Control System Design for Aerospace Vehicles,101108047,101,Video,false,,/courses/101108047/
Advanced Structual Mechanics,101108048,101,Web,false,syllabus/syllabus.php?subjectId=101108048,
Aero elasticity,101104005,101,Video,false,,/courses/101104005/
Aerodynamics,101106032,101,Web,false,syllabus/syllabus.php?subjectId=101106032,
Aerodynamics,101108049,101,Web,false,syllabus/syllabus.php?subjectId=101108049,
Aeroservoelasticity,101108050,101,Web,false,syllabus/syllabus.php?subjectId=101108050,
Aerospace Propulsion,101106033,101,Video,false,syllabus/syllabus.php?subjectId=101106033,
Aircraft Performance  Stability and control with experiments in Flight,,101,Video,true,,
Aircraft Structural Dynamics,101105022,101,Web,false,syllabus/syllabus.php?subjectId=101105022,
Aircraft Structures,,101,Web,true,,
Airplane design (Aerodynamic),101106035,101,Web,false,syllabus/syllabus.php?subjectId=101106035,
Basic Strength of Materials and Elasticity (or) Solid Mechanics,101106036,101,Web,false,syllabus/syllabus.php?subjectId=101106036,
Combustion,101106037,101,Video,false,syllabus/syllabus.php?subjectId=101106037,
Composite Materials,101106038,101,Web,false,syllabus/syllabus.php?subjectId=101106038,
Composite Materials and Structures,101104010,101,Web,false,,/courses/101104010
Composite Structures,101106039,101,Web,false,syllabus/syllabus.php?subjectId=101106039,
Elastic Wave Propagation in Structures,101108051,101,Web,false,syllabus/syllabus.php?subjectId=101108051,
Experimental Gas/Aerodynamics,101106040,101,Web,false,,/courses/101106040
Flight dynamics I - Airplane performance,101106041,101,Web,false,,/courses/101106041
Flight Dynamics II (Stability),101106042,101,Video,false,,/courses/101106042/
Flight dynamics II - Airplane stability and control,101106043,101,Web,false,,/courses/101106043
Flight vehicle System Identification,,101,Web,true,,
Fluid Dynamics,101108052,101,Video,false,syllabus/syllabus.php?subjectId=101108052,
Foundation of Scientific Computing,,101,Video,false,,
Fundamentals of Combustion,101104014,101,Web,false,,/courses/101104014
